自增ID,内部订单号,线上订单号,店铺名称,全渠道用户ID,发货日期,付款日期,应付金额,已付金额,状态,收货人,款号,商品编码,商品名称,颜色及规格,下单时间,省份,城市,平台站点,子订单编号,线上子订单编号,原始线上订单号,数量,商品单价,商品金额,原价,是否赠品,子订单状态,退款状态,登记数量,实退数量
21,INT20250000020,ON20250000020,Stradivarius官方旗舰店,ad7433985487806236,,2025-09-14 10:37:19,968.0,968.0,已付款,贺桂花,SPU117,SPU117-白色-M,短裤秋冬款,白色 短款,2025-09-14 10:37:19,河北省,衡水市,淘宝,SUB20250000020,ONSUB20250000020,ORIG20250000020,2,484.0,968.0,713.54,是,已付款,退款关闭,0,0
22,INT20250000021,ON20250000021,GAP童装官方旗舰店,ad2986250770774248,,2025-07-28 15:40:20,1236.0,1236.0,已付款,王玉华,SPU080,SPU080-红色-S,连帽卫衣夏季款,红色 加长,2025-07-26 15:40:20,上海市,上海市,淘宝,SUB20250000021,ONSUB20250000021,ORIG20250000021,3,412.0,1236.0,537.37,是,已付款,退款关闭,0,0
23,INT20250000022,ON20250000022,优衣库官方旗舰店,ab8012243793916276,2025-10-29 19:22:48,2025-10-28 19:22:48,510.0,510.0,已完成,曹建国,SPU006,SPU006-绿色-均码,训练外套夏季款,绿色 标准,2025-10-27 19:22:48,宁夏回族自治区,银川市,淘宝,SUB20250000022,ONSUB20250000022,ORIG20250000022,3,170.0,510.0,190.2,是,已完成,成功退款,3,3
24,INT20250000023,ON20250000023,Stradivarius女装官方旗舰店,af1841157899642331,2025-08-26 00:56:16,2025-08-24 00:56:16,142.0,142.0,已完成,杨丽娟,SPU117,SPU117-白色-XS,短裤秋冬款,白色 加长,2025-08-24 00:56:16,天津市,天津市,微信,SUB20250000023,ONSUB20250000023,ORIG20250000023,1,142.0,142.0,185.25,否,已完成,未申请退款,0,0
25,INT20250000024,ON20250000024,优衣库女装官方旗舰店,ac2776863429468715,2025-05-14 07:41:25,2025-05-13 07:41:25,1095.0,956.62,已发货,郑阳,SPU074,SPU074-绿色-L,运动长裤春季款,绿色 标准,2025-05-12 07:41:25,浙江省,宁波市,抖音,SUB20250000024,ONSUB20250000024,ORIG20250000024,3,365.0,1095.0,527.39,是,已发货,退款中,3,2
26,INT20250000025,ON20250000025,H&M童装官方旗舰店,af6746091685682681,2025-10-21 15:42:34,2025-10-18 15:42:34,388.0,388.0,已发货,胡淑华,SPU046,SPU046-黄色-均码,家居服经典款,黄色 加长,2025-10-17 15:42:34,山东省,青岛市,淘宝,SUB20250000025,ONSUB20250000025,ORIG20250000025,2,194.0,388.0,272.84,是,已发货,退款关闭,0,0
27,INT20250000026,ON20250000026,江南布衣男装官方旗舰店,ad4702877808731665,,,922.0,0.0,待付款,周浩,SPU078,SPU078-粉色-XXXL,连帽卫衣秋冬款,粉色 宽松,2025-10-29 04:17:18,辽宁省,铁岭市,微信,SUB20250000026,ONSUB20250000026,ORIG20250000026,2,461.0,922.0,673.99,否,待付款,未申请退款,0,0
28,INT20250000027,ON20250000027,太平鸟官方旗舰店,ac6359599788662057,2025-09-12 08:41:52,2025-09-10 08:41:52,244.0,244.0,已完成,曾琳,SPU159,SPU159-红色-XXXL,运动长裤新款,红色 短款,2025-09-08 08:41:52,天津市,天津市,拼多多,SUB20250000027,ONSUB20250000027,ORIG20250000027,1,244.0,244.0,295.13,否,已完成,退款关闭,0,0
29,INT20250000028,ON20250000028,韩都衣舍官方旗舰店,ad5374275739021918,2025-10-06 13:28:23,2025-10-03 13:28:23,542.0,542.0,已完成,高金凤,SPU010,SPU010-黑色-XXL,套头卫衣秋冬款,黑色 加长,2025-10-02 13:28:23,北京市,北京市,淘宝,SUB20250000028,ONSUB20250000028,ORIG20250000028,2,271.0,542.0,331.55,否,已完成,未申请退款,0,0
30,INT20250000029,ON20250000029,GAP童装官方旗舰店,ae5801983512901640,2025-09-30 11:45:56,2025-09-29 11:45:56,1335.0,1335.0,已完成,徐秀芳,SPU012,SPU012-米色-S,条纹衬衫夏季款,米色 标准,2025-09-27 11:45:56,甘肃省,天水市,京东,SUB20250000029,ONSUB20250000029,ORIG20250000029,3,445.0,1335.0,640.95,是,已完成,未申请退款,0,0
31,INT20250000030,ON20250000030,H&M童装官方旗舰店,ad7036023862681533,2025-07-13 23:44:28,2025-07-11 23:44:28,832.0,832.0,已完成,林明,SPU131,SPU131-棕色-XS,运动套装秋冬款,棕色 加长,2025-07-11 23:44:28,上海市,上海市,淘宝,SUB20250000030,ONSUB20250000030,ORIG20250000030,2,416.0,832.0,554.57,否,已完成,成功退款,2,1
32,INT20250000031,ON20250000031,韩都衣舍官方旗舰店,ac4743585577598061,2025-10-24 16:30:36,2025-10-23 16:30:36,231.0,231.0,已完成,姚兵,SPU109,SPU109-棕色-XS,家居服热卖款,棕色 短款,2025-10-21 16:30:36,青海省,海南藏族自治州,微信,SUB20250000031,ONSUB20250000031,ORIG20250000031,3,77.0,231.0,92.92,否,已完成,未申请退款,0,0
33,INT20250000032,ON20250000032,Massimo Dutti女装官方旗舰店,ad2037358315220764,2025-05-15 09:15:45,2025-05-13 09:15:45,348.0,318.14,已完成,陈彬,SPU071,SPU071-粉色-均码,家居服热卖款,粉色 修身,2025-05-12 09:15:45,宁夏回族自治区,银川市,抖音,SUB20250000032,ONSUB20250000032,ORIG20250000032,2,174.0,348.0,241.9,否,已完成,成功退款,2,1
34,INT20250000033,ON20250000033,播男装官方旗舰店,ac3220450664157272,,2025-05-24 05:05:10,368.0,368.0,已付款,宫婷婷,SPU073,SPU073-蓝色-XS,短裤秋冬款,蓝色 加长,2025-05-24 05:05:10,云南省,迪庆藏族自治州,天猫,SUB20250000033,ONSUB20250000033,ORIG20250000033,1,368.0,368.0,516.43,是,已付款,申请退款,1,0
35,INT20250000034,ON20250000034,H&M女装官方旗舰店,af8433063852914100,2025-10-26 16:23:08,2025-10-24 16:23:08,226.0,226.0,已发货,蔡凯,SPU030,SPU030-绿色-XXL,牛仔裤热卖款,绿色 修身,2025-10-22 16:23:08,云南省,玉溪市,微信,SUB20250000034,ONSUB20250000034,ORIG20250000034,2,113.0,226.0,130.96,否,已发货,申请退款,2,0
36,INT20250000035,ON20250000035,Mango官方旗舰店,ab2201012255403711,2025-06-20 16:32:20,2025-06-17 16:32:20,294.0,294.0,已完成,刘淑英,SPU026,SPU026-绿色-M,家居服秋冬款,绿色 标准,2025-06-16 16:32:20,江苏省,淮安市,拼多多,SUB20250000035,ONSUB20250000035,ORIG20250000035,3,98.0,294.0,140.33,否,已完成,未申请退款,0,0
37,INT20250000036,ON20250000036,韩都衣舍官方旗舰店,af8192370490302364,2025-08-06 05:56:58,2025-08-04 05:56:58,684.0,684.0,已完成,张玉华,SPU089,SPU089-黄色-S,跑步外套夏季款,黄色 修身,2025-08-02 05:56:58,海南省,儋州市,淘宝,SUB20250000036,ONSUB20250000036,ORIG20250000036,3,228.0,684.0,285.08,否,已完成,未申请退款,0,0
38,INT20250000037,ON20250000037,COS女装官方旗舰店,ac9588360655617634,2025-08-09 03:55:06,2025-08-06 03:55:06,418.0,418.0,已发货,曹龙,SPU135,SPU135-棕色-XXL,风衣春季款,棕色 短款,2025-08-04 03:55:06,甘肃省,武威市,抖音,SUB20250000037,ONSUB20250000037,ORIG20250000037,2,209.0,418.0,231.9,否,已发货,申请退款,2,0
39,INT20250000038,ON20250000038,Stradivarius官方旗舰店,ae5056431273108476,2025-05-31 23:59:52,2025-05-29 23:59:52,224.0,224.0,已完成,王建,SPU051,SPU051-橙色-XS,短袖T恤夏季款,橙色 宽松,2025-05-28 23:59:52,河南省,济源市,微信,SUB20250000038,ONSUB20250000038,ORIG20250000038,2,112.0,224.0,128.68,否,已完成,退款关闭,0,0
40,INT20250000039,ON20250000039,VERO MODA女装官方旗舰店,ad4586121858561525,2025-07-29 21:03:22,2025-07-26 21:03:22,1161.0,1161.0,已完成,卜成,SPU069,SPU069-米色-M,休闲衬衫秋冬款,米色 加长,2025-07-26 21:03:22,广西壮族自治区,柳州市,拼多多,SUB20250000039,ONSUB20250000039,ORIG20250000039,3,387.0,1161.0,443.49,是,已完成,退款关闭,0,0
41,INT20250000040,ON20250000040,森马男装官方旗舰店,ad2699230236161879,,2025-06-27 15:14:26,618.0,618.0,已付款,张艳,SPU000,SPU000-黑色-XXXL,家居服春季款,黑色 宽松,2025-06-27 15:14:26,河北省,张家口市,淘宝,SUB20250000040,ONSUB20250000040,ORIG20250000040,2,309.0,618.0,419.69,否,已付款,未申请退款,0,0
42,INT20250000041,ON20250000041,H&M女装官方旗舰店,ae9671101950272522,2025-06-09 11:27:07,2025-06-07 11:27:07,154.0,154.0,已完成,张斌,SPU025,SPU025-黄色-XS,家居服热卖款,黄色 宽松,2025-06-06 11:27:07,山西省,吕梁市,拼多多,SUB20250000041,ONSUB20250000041,ORIG20250000041,1,154.0,154.0,185.12,是,已完成,成功退款,1,1
43,INT20250000042,ON20250000042,H&M男装官方旗舰店,ad3969587916183924,2025-09-10 02:33:41,2025-09-09 02:33:41,522.0,522.0,已完成,郝娜,SPU119,SPU119-米色-XL,针织衫秋冬款,米色 加长,2025-09-08 02:33:41,山东省,泰安市,天猫,SUB20250000042,ONSUB20250000042,ORIG20250000042,2,261.0,522.0,343.06,否,已完成,未申请退款,0,0
44,INT20250000043,ON20250000043,VERO MODA女装官方旗舰店,ae7795443413819612,2025-08-29 13:29:17,2025-08-28 13:29:17,448.0,448.0,已完成,张静,SPU157,SPU157-灰色-XXXL,速干短裤春季款,灰色 加长,2025-08-28 13:29:17,内蒙古自治区,呼伦贝尔市,微信,SUB20250000043,ONSUB20250000043,ORIG20250000043,1,448.0,448.0,498.1,否,已完成,成功退款,1,1
45,INT20250000044,ON20250000044,杰克琼斯男装官方旗舰店,ac2929277624800525,2025-08-27 08:34:53,2025-08-26 08:34:53,83.0,83.0,已发货,萧晨,SPU046,SPU046-黄色-S,家居服经典款,黄色 修身,2025-08-24 08:34:53,江苏省,扬州市,微信,SUB20250000044,ONSUB20250000044,ORIG20250000044,1,83.0,83.0,103.83,否,已发货,退款关闭,0,0
46,INT20250000045,ON20250000045,ONLY女装官方旗舰店,ae4981553333619090,,,395.0,0.0,已取消,夏军,SPU105,SPU105-米色-M,速干短裤秋冬款,米色 加长,2025-07-11 18:41:15,安徽省,马鞍山市,天猫,SUB20250000045,ONSUB20250000045,ORIG20250000045,1,395.0,395.0,478.41,是,已取消,未申请退款,0,0
47,INT20250000046,ON20250000046,优衣库女装官方旗舰店,ad3348771304859861,,,204.0,0.0,已取消,潘瑞,SPU032,SPU032-黄色-XXL,连帽卫衣春季款,黄色 宽松,2025-06-04 12:31:39,广西壮族自治区,南宁市,拼多多,SUB20250000046,ONSUB20250000046,ORIG20250000046,1,204.0,204.0,268.81,是,已取消,未申请退款,0,0
48,INT20250000047,ON20250000047,H&M童装官方旗舰店,ac6254296410240102,2025-10-26 14:47:07,2025-10-24 14:47:07,786.0,786.0,已完成,萧东,SPU051,SPU051-橙色-L,短袖T恤夏季款,橙色 标准,2025-10-23 14:47:07,四川省,阿坝藏族羌族自治州,淘宝,SUB20250000047,ONSUB20250000047,ORIG20250000047,3,262.0,786.0,298.03,否,已完成,成功退款,3,3
49,INT20250000048,ON20250000048,欧时力官方旗舰店,ad2633955909477920,2025-09-01 07:53:12,2025-08-29 07:53:12,180.0,180.0,已发货,祝文,SPU018,SPU018-红色-XS,休闲裤秋冬款,红色 加长,2025-08-29 07:53:12,云南省,保山市,淘宝,SUB20250000048,ONSUB20250000048,ORIG20250000048,2,90.0,180.0,121.2,是,已发货,退款关闭,0,0
50,INT20250000049,ON20250000049,江南布衣女装官方旗舰店,ab3573611892924507,2025-10-22 12:29:33,2025-10-20 12:29:33,194.0,194.0,已发货,俞桂珍,SPU196,SPU196-紫色-XS,休闲衬衫春季款,紫色 短款,2025-10-20 12:29:33,山西省,阳泉市,京东,SUB20250000049,ONSUB20250000049,ORIG20250000049,2,97.0,194.0,112.14,否,已发货,退款关闭,0,0
51,INT20250000050,ON20250000050,H&M官方旗舰店,ac6472530714485836,2025-09-27 21:37:55,2025-09-25 21:37:55,460.0,460.0,已发货,王斌,SPU012,SPU012-米色-M,条纹衬衫夏季款,米色 标准,2025-09-23 21:37:55,浙江省,丽水市,拼多多,SUB20250000050,ONSUB20250000050,ORIG20250000050,1,460.0,460.0,613.56,否,已发货,申请退款,1,0
52,INT20250000051,ON20250000051,秋水伊人女装官方旗舰店,ad9415368027988442,2025-09-12 16:14:09,2025-09-09 16:14:09,404.0,404.0,已发货,杨凤兰,SPU159,SPU159-红色-L,运动长裤新款,红色 宽松,2025-09-07 16:14:09,江苏省,扬州市,微信,SUB20250000051,ONSUB20250000051,ORIG20250000051,2,202.0,404.0,257.64,否,已发货,申请退款,2,0
53,INT20250000052,ON20250000052,阿迪达斯官方旗舰店,ae5621467975284063,,,350.0,0.0,待付款,王丽,SPU023,SPU023-橙色-均码,休闲衬衫秋冬款,橙色 加长,2025-05-24 22:27:58,湖北省,咸宁市,天猫,SUB20250000052,ONSUB20250000052,ORIG20250000052,2,175.0,350.0,244.51,否,待付款,未申请退款,0,0
54,INT20250000053,ON20250000053,播官方旗舰店,af3470774969974188,2025-08-15 03:09:57,2025-08-14 03:09:57,1245.0,1245.0,已完成,杨凤英,SPU016,SPU016-绿色-XXL,运动长裤经典款,绿色 宽松,2025-08-12 03:09:57,山东省,德州市,拼多多,SUB20250000053,ONSUB20250000053,ORIG20250000053,3,415.0,1245.0,522.79,是,已完成,成功退款,3,3
55,INT20250000054,ON20250000054,H&M官方旗舰店,ac2433927517298955,2025-09-28 03:30:22,2025-09-27 03:30:22,1059.0,1059.0,已发货,卢勇,SPU130,SPU130-黑色-XXL,休闲衬衫热卖款,黑色 短款,2025-09-25 03:30:22,新疆维吾尔自治区,白杨市,京东,SUB20250000054,ONSUB20250000054,ORIG20250000054,3,353.0,1059.0,518.93,否,已发货,申请退款,3,0
56,INT20250000055,ON20250000055,Massimo Dutti男装官方旗舰店,af6833374007368870,2025-10-13 11:16:27,2025-10-12 11:16:27,606.0,606.0,已发货,高秀云,SPU184,SPU184-棕色-XXL,速干T恤秋冬款,棕色 标准,2025-10-10 11:16:27,吉林省,松原市,天猫,SUB20250000055,ONSUB20250000055,ORIG20250000055,3,202.0,606.0,234.22,是,已发货,退款关闭,0,0
57,INT20250000056,ON20250000056,VERO MODA官方旗舰店,ae1528143119449844,2025-09-28 11:00:14,2025-09-26 11:00:14,231.0,231.0,已完成,庞晶,SPU063,SPU063-粉色-XXL,运动T恤秋冬款,粉色 修身,2025-09-24 11:00:14,湖南省,常德市,淘宝,SUB20250000056,ONSUB20250000056,ORIG20250000056,3,77.0,231.0,88.83,是,已完成,成功退款,3,2
58,INT20250000057,ON20250000057,欧时力女装官方旗舰店,ab1231290769288917,2025-10-07 12:52:58,2025-10-06 12:52:58,1398.0,1398.0,已发货,祝桂珍,SPU003,SPU003-红色-XL,家居服新款,红色 宽松,2025-10-05 12:52:58,吉林省,四平市,天猫,SUB20250000057,ONSUB20250000057,ORIG20250000057,3,466.0,1398.0,522.25,否,已发货,退款关闭,0,0
59,INT20250000058,ON20250000058,韩都衣舍官方旗舰店,ad2183653182565891,2025-08-18 15:23:31,2025-08-15 15:23:31,445.0,445.0,已完成,罗小红,SPU012,SPU012-米色-S,条纹衬衫夏季款,米色 标准,2025-08-15 15:23:31,四川省,成都市,天猫,SUB20250000058,ONSUB20250000058,ORIG20250000058,1,445.0,445.0,593.15,否,已完成,成功退款,1,1
60,INT20250000059,ON20250000059,COS女装官方旗舰店,ab3976235639607489,2025-09-26 12:08:07,2025-09-24 12:08:07,904.0,904.0,已完成,成梅,SPU016,SPU016-绿色-XXXL,运动长裤经典款,绿色 修身,2025-09-23 12:08:07,贵州省,黔西南布依族苗族自治州,淘宝,SUB20250000059,ONSUB20250000059,ORIG20250000059,2,452.0,904.0,585.05,是,已完成,未申请退款,0,0
61,INT20250000060,ON20250000060,江南布衣女装官方旗舰店,ac6760039231340146,2025-08-06 07:44:31,2025-08-03 07:44:31,83.0,83.0,已完成,杨桂英,SPU111,SPU111-白色-M,POLO衫春季款,白色 标准,2025-08-03 07:44:31,广东省,珠海市,京东,SUB20250000060,ONSUB20250000060,ORIG20250000060,1,83.0,83.0,95.58,否,已完成,退款关闭,0,0
62,INT20250000061,ON20250000061,江南布衣女装官方旗舰店,af2093134564451850,2025-07-09 04:32:10,2025-07-06 04:32:10,476.0,476.0,已完成,冯婷,SPU012,SPU012-米色-XXXL,条纹衬衫夏季款,米色 短款,2025-07-04 04:32:10,宁夏回族自治区,银川市,拼多多,SUB20250000061,ONSUB20250000061,ORIG20250000061,2,238.0,476.0,324.3,是,已完成,未申请退款,0,0
63,INT20250000062,ON20250000062,Stradivarius官方旗舰店,af2463687567847201,,2025-05-14 23:26:24,216.0,173.88,已付款,段淑英,SPU181,SPU181-棕色-XXXL,羽绒服夏季款,棕色 修身,2025-05-13 23:26:24,宁夏回族自治区,固原市,天猫,SUB20250000062,ONSUB20250000062,ORIG20250000062,1,216.0,216.0,242.29,否,已付款,申请退款,1,0
64,INT20250000063,ON20250000063,ONLY女装官方旗舰店,af6781787433757682,2025-07-01 19:16:00,2025-06-29 19:16:00,1191.0,1191.0,已完成,彭婷,SPU081,SPU081-橙色-XXXL,短袖T恤经典款,橙色 加长,2025-06-27 19:16:00,内蒙古自治区,包头市,天猫,SUB20250000063,ONSUB20250000063,ORIG20250000063,3,397.0,1191.0,463.41,是,已完成,未申请退款,0,0
65,INT20250000064,ON20250000064,H&M官方旗舰店,af5257440346577731,2025-08-25 02:07:29,2025-08-23 02:07:29,427.0,427.0,已发货,黄丹,SPU071,SPU071-粉色-XXXL,家居服热卖款,粉色 加长,2025-08-23 02:07:29,贵州省,黔西南布依族苗族自治州,京东,SUB20250000064,ONSUB20250000064,ORIG20250000064,1,427.0,427.0,524.31,是,已发货,未申请退款,0,0
66,INT20250000065,ON20250000065,Mango官方旗舰店,ae5972339811598312,2025-07-25 18:01:48,2025-07-24 18:01:48,806.0,806.0,已完成,邓建国,SPU024,SPU024-白色-M,POLO衫热卖款,白色 标准,2025-07-24 18:01:48,山东省,滨州市,天猫,SUB20250000065,ONSUB20250000065,ORIG20250000065,2,403.0,806.0,488.09,是,已完成,退款关闭,0,0
67,INT20250000066,ON20250000066,COS官方旗舰店,ad1091433650901539,,2025-10-06 05:49:36,1314.0,1314.0,已付款,杨杨,SPU057,SPU057-米色-M,针织衫夏季款,米色 标准,2025-10-06 05:49:36,河北省,张家口市,微信,SUB20250000066,ONSUB20250000066,ORIG20250000066,3,438.0,1314.0,611.3,是,已付款,退款中,3,0
68,INT20250000067,ON20250000067,COS官方旗舰店,ad1668020497206600,2025-10-21 03:00:46,2025-10-19 03:00:46,423.0,423.0,已完成,陆霞,SPU019,SPU019-黑色-XS,针织连衣裙热卖款,黑色 标准,2025-10-19 03:00:46,四川省,甘孜藏族自治州,天猫,SUB20250000067,ONSUB20250000067,ORIG20250000067,1,423.0,423.0,503.85,是,已完成,未申请退款,0,0
69,INT20250000068,ON20250000068,杰克琼斯男装官方旗舰店,ad6593716308947811,2025-08-17 06:21:28,2025-08-16 06:21:28,1365.0,1365.0,已完成,陈军,SPU044,SPU044-橙色-均码,风衣新款,橙色 宽松,2025-08-15 06:21:28,辽宁省,大连市,京东,SUB20250000068,ONSUB20250000068,ORIG20250000068,3,455.0,1365.0,561.57,否,已完成,未申请退款,0,0
